Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label
0,85.8,93.93333333333334,-1.0392566666666667,0
1,75.16666666666667,94.66666666666667,-0.08954666666666658,0
2,69.93333333333334,94.86666666666666,0.00442499999999996,0
3,71.5,94.86666666666666,-0.041071666666666694,0
4,72.83333333333333,93.83333333333333,0.011518333333333351,0
5,74.46666666666667,90.96666666666667,0.14491833333333334,1
6,72.8,91.83333333333333,0.28356666666666663,1
7,76.56666666666666,90.13333333333334,-0.65322,0
8,72.33333333333333,94.13333333333334,-0.001225000000000002,1
9,72.8,92.0,-0.21436333333333332,1
10,71.7,92.26666666666667,0.42904666666666663,1
11,70.96666666666667,92.03333333333333,0.01744499999999998,0
12,71.23333333333333,90.1,0.12011833333333335,0
13,70.33333333333333,92.0,0.37632,1
14,75.06666666666666,90.83333333333333,-0.3181266666666666,1
15,72.63333333333334,92.3,-0.21164499999999997,1
16,69.93333333333334,93.06666666666666,0.10064,1
17,76.66666666666667,88.23333333333333,-0.17677833333333334,1
18,71.36666666666666,87.7,0.3694483333333333,1
19,70.73333333333333,90.4,-0.03751666666666667,1
20,69.66666666666667,90.43333333333334,0.2906416666666667,1
21,71.1,92.36666666666666,0.6100383333333333,1
22,69.83333333333333,85.0,-0.04501000000000001,1
23,71.03333333333333,90.93333333333334,0.39839166666666664,1
24,73.5,91.83333333333333,0.6917316666666667,1
25,69.73333333333333,85.63333333333334,-0.35710166666666665,1
26,72.86666666666666,87.93333333333334,0.46401000000000003,1
27,69.53333333333333,90.7,0.05910666666666667,1
28,72.93333333333334,85.36666666666666,-0.06088333333333332,1
29,70.53333333333333,90.56666666666666,-0.18980833333333333,1
30,69.2,91.1,0.042345,1
31,78.16666666666667,84.46666666666667,-0.09030666666666663,0
32,71.43333333333334,91.33333333333333,-0.14287833333333338,1
33,68.8,92.03333333333333,0.26653,1
34,69.53333333333333,92.96666666666667,0.42947666666666673,1
35,69.8,86.96666666666667,0.3765216666666666,1
36,70.63333333333334,93.13333333333334,0.4937116666666667,1
37,68.73333333333333,86.03333333333333,0.05697333333333332,1
38,70.63333333333334,91.53333333333333,0.11782500000000001,1
39,70.23333333333333,91.66666666666667,0.17921999999999996,1
40,72.66666666666667,85.7,0.215175,1
41,68.83333333333333,88.56666666666666,-0.10221833333333334,1
42,68.83333333333333,88.33333333333333,0.6039816666666666,1
43,68.66666666666667,89.86666666666666,-0.25912999999999997,1
44,68.8,92.86666666666666,0.24916500000000003,1
45,70.33333333333333,84.83333333333333,0.34256999999999993,1
46,71.26666666666667,91.26666666666667,0.10404500000000001,1
47,67.23333333333333,85.66666666666667,-0.0963416666666667,1
48,72.6,90.73333333333333,0.3640583333333333,1
49,68.93333333333334,91.03333333333333,0.6072216666666667,1
50,68.03333333333333,88.5,0.29841666666666666,1
51,66.96666666666667,91.4,-0.08593500000000003,1
52,70.06666666666666,91.4,0.3881233333333334,1
53,67.6,84.23333333333333,0.09041333333333332,1
54,69.23333333333333,86.0,0.4412266666666667,1
55,68.06666666666666,92.06666666666666,0.43221833333333337,1
56,68.33333333333333,91.76666666666667,0.12711499999999998,1
57,67.2,89.96666666666667,0.5782716666666666,1
58,69.66666666666667,92.0,0.408105,1
59,66.03333333333333,84.7,0.14063833333333334,1
60,70.23333333333333,87.76666666666667,0.27604000000000006,1
61,69.9,90.43333333333334,0.10480333333333333,1
62,70.53333333333333,87.56666666666666,0.2989,1
63,70.2,89.63333333333334,0.6056433333333333,1
64,71.56666666666666,90.8,0.5151749999999999,1
65,67.6,91.23333333333333,0.54646,1
66,71.23333333333333,90.0,0.6398966666666667,1
67,71.7,90.56666666666666,0.5872516666666667,1
68,67.33333333333333,90.5,0.1741116666666667,1
69,71.0,89.33333333333333,0.7086683333333333,1
70,69.5,91.23333333333333,0.610245,1
71,69.76666666666667,90.36666666666666,0.5552833333333334,1
72,67.73333333333333,91.0,0.6509800000000001,1
73,70.26666666666667,90.73333333333333,0.66464,1
74,69.83333333333333,90.3,0.6470183333333334,1
75,75.26666666666667,90.53333333333333,0.16457166666666664,1
76,72.83333333333333,92.8,-0.04689499999999995,1
77,64.53333333333333,94.13333333333334,0.23374833333333336,1
78,83.26666666666667,90.63333333333334,-0.4716666666666666,0
79,77.76666666666667,94.7,-0.929065,0
80,72.4,95.16666666666667,-0.49317999999999995,0
81,73.36666666666666,92.93333333333334,0.03204499999999997,1
82,75.5,91.9,0.13032166666666667,1
